"","TreatmentTag","ArticleTag","N","ObservedMeanPre","ObservedMeanPost","MinBinValue","MaxBinValue","LatentMean","LatentSDPre","LatentSDPost","LatentMeanPrePosteriorLower95","LatentMeanPrePosteriorMedian","LatentMeanPrePosteriorUpper95","LatentMeanPrePosteriorMean","LatentMeanPrePosteriorSD","LatentMeanPostPosteriorLower95","LatentMeanPostPosteriorMedian","LatentMeanPostPosteriorUpper95","LatentMeanPostPosteriorMean","LatentMeanPostPosteriorSD"
"1","COSprings-AffirmativeAction","Schkade2010",31,2.84,1.61,1,10,1.6,3.874399317,0.488934522,-1.60718,1.1868,3.31843,1.04987954752565,1.2763397031861,1.24454,1.57736,2.02567,1.597095267045,0.188269986110125
"2","Boulder-CivilUnions","Schkade2010",32,9.22,9.69,1,10,9.6,1.42474323622744,0.200932783923747,8.87471,9.57723,10.4765,9.626294653,0.407980557831385,9.4685,9.98394,11.4786,10.179685449,0.670423884859639
"3","COSprings-CivilUnions","Schkade2010",31,2.48,2.19,1,10,2.2,1.847694435,0.417290247,0.771609,1.820745,2.82705,1.8073627510215,0.516167285527843,1.68036,2.34573,3.1398,2.386882385,0.390794522045364
"4","Boulder-GlobalWarming","Schkade2010",32,9.19,9.44,1,10,9.5,1.33923403,0.63584889,8.74524,9.32625,9.84004,9.3094152535,0.267916945671723,9.41263,9.87417,11.0986,10.026710178,0.540144669591476
"5","DeGaulle-Judgements-Favorable","Moscovici1969",140,5.53,5.91,1,7,6,2.248507904,1.061084005,5.66341,6.13939,6.62508,6.146747358,0.246933512932672,5.57293,5.93489,6.26856,5.9261989635,0.180885831490812
"6","DeGaulle-Judgements-Unfavorable","Moscovici1969",140,2.25,1.92,1,7,1.8,1.999532397,1.03931272,1.66312,2.10275,2.53638,2.10234163585,0.224007199688307,1.57872,1.854375,2.19202,1.8720288345,0.163590147810129
"7","Tetrads-Sports","Friedkin1999",200,9.74,8.82,1,20,8.7,17.050142818405,1.5,6.56905,8.764705,11.0495,8.768784149,1.1413470990997,7.38341,8.614435,9.83066,8.606753256,0.633555867662506
"8","Tetrads-School","Friedkin1999",200,9.306,9.16,1,20,9.1,1.5,1.5,7.66509,8.870295,10.1294,8.869973684,0.621762129163358,7.79039,8.96806,10.2183,8.9709708265,0.612965250712894
"9","Tetrads-Surgery","Friedkin1999",200,13.62,13.81,1,20,13.8,1.5,1.5,13.0772,14.13005,15.2138,14.128657985,0.557099961054179,12.9681,14.0122,15.1187,14.006398035,0.546280881371211
"10","Triads-Sports","Friedkin1999",96,10.532,9.448,1,20,9.4,1.5,1.5,8.17204,9.406205,10.6576,9.3904727295,0.631192296538215,8.17834,9.545945,10.9554,9.5564647895,0.693597478207614
"11","Triads-School","Friedkin1999",96,10.968,10.844,1,20,10.9,1.5,1.5,9.43563,10.79825,12.0815,10.8064817865,0.672502025890014,9.36613,10.65705,11.9118,10.6659922755,0.642153190855534
"12","Triads-Surgery","Friedkin1999",96,14.322,14.832,1,20,14.8,5.42272094800368,0.338747485173217,14.6539,15.9819,17.2728,15.985552885,0.666224265903233,12.7861,14.5381,16.2849,14.5324198,0.88380295948165
"13","Dyads-School","Friedkin1999",72,13.952,14.336,1,20,14.3,5.19260038128519,0.968615693799612,13.9916,15.47535,16.8759,15.4804205,0.731601910472164,13.2423,14.5999,16.0588,14.605955195,0.713203669403568
"14","Dyads-Surgery","Friedkin1999",72,10.83,11.014,1,20,11,1.5,1.5,9.94503,11.17075,12.5092,11.177478388,0.653405606377718,9.68644,10.9753,12.3136,10.988769907,0.667001135794391
"15","NoOutgroupScenario1","Krizan2007",28,5.3,5.42,1,10,5.4,0.757613048,3.454962289,3.74487,5.173665,6.68679,5.184561147,0.760496231815308,4.23407,5.515425,6.85123,5.5147853145,0.670847052944144
"16","NoOutgroupScenario2","Krizan2007",28,5.6,4.88,1,10,5,26.02460955,1.025744655,-10.2177,7.163095,24.1921,7.1195153448087,8.77845063764494,3.83299,5.113845,6.48205,5.1173462155,0.679830704924506
"17","NoOutgroupScenario3","Krizan2007",28,5.1,4.18,1,10,4.2,11.37843704,0.37236547,-3.10611,5.5043,14.8479,5.5276055836267,4.39420043480763,2.44091,4.002255,5.53562,4.035533556,0.7992010213771
"18","NoOutgroupScenario4","Krizan2007",28,4.7,3.3,1,10,3.3,9.43151283703144,0.694888641591565,-1.6711,6.20261,14.2267,6.2558850639305,3.93997816358156,2.14659,3.35017,4.67867,3.390689949,0.65890812476215
"19","NoOutgroupScenario5","Krizan2007",28,5.4,5,1,10,5.2,1.58955838191687,1.48254490565457,4.23381,5.558495,6.85191,5.5519702615,0.67296085046032,3.53022,4.7471,5.9112,4.752258416,0.612420313068421
"20","OutgroupScenario1","Krizan2007",28,5.3,5.17,1,10,5.2,1.53071181483122,1.5,3.87905,5.26254,6.6088,5.2639143515,0.695638511260329,4.14141,5.384345,6.69586,5.387216069,0.651239827521247
"21","OutgroupScenario2","Krizan2007",28,5.6,4.6,1,10,4.6,19.0862669921981,1.26823866368165,-11.2296,4.55107,20.2683,4.5419977195377,7.88460373004928,3.8185,5.13359,6.51333,5.140431491,0.694812770508762
"22","OutgroupScenario3","Krizan2007",28,5.1,4.87,1,10,4.9,1.54606015818549,1.37798159912434,3.99039,5.189175,6.47761,5.1929341145,0.633843253302751,3.87251,5.213195,6.64278,5.2131738325,0.715692842869744
"23","OutgroupScenario4","Krizan2007",28,4.7,3.7,1,10,3.7,2.15856340018603,1.30374501802773,2.13261,3.09726,4.19145,3.1268448441,0.529211817330495,3.07504,4.27259,5.58581,4.297492102,0.646896916168518
"24","OutgroupScenario5","Krizan2007",28,5.4,5.47,1,10,5.5,1.5,1.5,4.28372,5.454905,6.62928,5.4553677345,0.598042528765064,4.75353,6.020455,7.25218,6.0150666565,0.643016759997161
"25","Experimental","Burnstein1975",60,2,1.35,1,10,1.3,2.13281743954255,0.501746699053015,-0.246402,0.9069985,1.73216,0.8378386365646,0.515274215392178,0.378745,1.13432,1.49726,1.04886247845335,0.351752485215438
"26","A","Burnstein1973",149,4.17,3.36,1,10,3.1,5.746515621,2.455330288,2.06925,3.189495,4.27591,3.1766675617,0.562633142426605,2.39488,2.95231,3.52021,2.954955602,0.287232208106152
"27","B","Burnstein1973",149,5.76,5.42,1,10,5.3,16.1478251863397,4.96892377385162,4.98778,9.39984,14.3958,9.5179946409,2.3859666902743,4.29181,5.26778,6.19593,5.264857952,0.483098919239554
"28","E","Burnstein1973",149,7.76,8.42,1,10,8.4,3.267465911,0.891943118,7.90263,8.506805,9.09426,8.505468824,0.303584262483793,7.52935,8.22363,8.83774,8.209867779,0.337461507431333
"29","F","Burnstein1973",149,8.36,8.56,1,10,8.5,1.588302783,0.657507632,8.23342,8.71554,9.1413,8.701351108,0.233751223591127,7.55589,8.291345,9.02991,8.282016706,0.382279180876747
"30","H","Burnstein1973",149,6.87,7.26,1,10,7.24,3.467724848,1.489014823,6.59503,7.324585,8.01485,7.3242694895,0.362523241475088,6.30397,7.13939,7.92794,7.139246865,0.41966576560449
